iter	Passed	Remaining
912	2948	281
913	2951	277
914	2955	274
915	2959	271
916	2963	268
917	2966	264
918	2968	261
919	2973	258
920	2976	255
921	2979	252
922	2982	248
923	2985	245
924	2988	242
925	2991	239
926	2993	235
927	2996	232
928	2999	229
929	3003	226
930	3006	222
931	3009	219
932	3011	216
933	3014	213
934	3017	209
935	3021	206
936	3024	203
937	3026	200
938	3030	196
939	3032	193
940	3036	190
941	3039	187
942	3042	183
943	3046	180
944	3049	177
945	3053	174
946	3056	171
947	3060	167
948	3062	164
949	3065	161
950	3069	158
951	3072	154
952	3074	151
953	3077	148
954	3080	145
955	3083	141
956	3087	138
957	3089	135
958	3092	132
959	3095	128
960	3099	125
961	3102	122
962	3105	119
963	3108	116
964	3111	112
965	3114	109
966	3118	106
967	3121	103
968	3125	99
969	3128	96
970	3132	93
971	3135	90
972	3138	87
973	3141	83
974	3144	80
975	3149	77
976	3153	74
977	3155	70
978	3158	67
979	3162	64
980	3166	61
981	3169	58
982	3173	54
983	3176	51
984	3180	48
985	3183	45
986	3186	41
987	3189	38
988	3192	35
989	3195	32
990	3198	29
991	3201	25
992	3204	22
993	3207	19
994	3211	16
995	3214	12
996	3217	9
997	3221	6
998	3224	3
999	3229	0
